,id,SubhaloHalfmassRad_xyTotal,SubhaloHalfmassRad_xzTotal,SubhaloHalfmassRad_yzTotal,SubhaloVelDispReProjectedStellarTotal,SubhaloVelDisp3D_Stellar_Re_Total,SubhaloVelDisp3D_Stellar_Total,SubhaloVelDisp3D_Gas_Total,SubhaloVelDisp3D_DM_Total
937,449910,2.492636284,2.282152522,3.405618965,91.53938177,171.0374505,183.2272769,179.918908,232.0269728
938,449972,3.947839022,5.316816905,4.392264291,115.7218905,209.9937375,220.199211,242.0912013,274.1960884
939,450046,4.585482341,4.08143277,4.9521412,105.5754336,182.259459,191.4780602,209.4590178,250.8732167
940,450126,4.842598555,4.441797581,3.790608122,112.7231902,194.8731966,198.5634855,218.2416128,256.5328075
941,450177,2.032754619,1.789956807,1.639023195,110.5157014,194.3939969,198.605946,201.1410921,256.2389665
942,450265,4.262979465,3.547773539,4.673195832,116.1199014,201.7075611,200.534175,222.3405434,266.185
943,450337,1.431530157,0.962097019,1.432068654,123.0454705,211.3690977,200.5945757,197.4475029,266.0587248
944,450420,1.733601807,1.900403801,2.289077724,115.8607875,205.3116872,205.9041907,206.8210043,262.4026649
945,450493,2.63474706,3.562634753,2.697736686,108.7790814,197.6737155,201.4175265,201.7018771,247.0882787
946,450593,1.956547211,2.053400583,1.773844668,105.5186466,183.2686818,194.8219551,237.615916,289.3311181
947,450683,1.612697571,1.625763772,1.736998789,135.0963812,235.7141998,231.284011,210.6887782,264.5396851
948,450767,3.65070241,2.885241678,2.770050733,121.793069,212.8950422,212.4052082,237.851918,267.372999
949,450849,3.95528617,6.402506535,4.12716063,117.739248,214.8162503,218.4652685,233.6607445,279.5047358
950,450920,0.919998851,1.052676377,1.224810017,147.6741091,254.9657771,244.6314216,152.245942,303.5291228
951,451005,5.971176985,5.951666348,4.493360178,114.5304426,202.6073139,210.2450201,224.662409,284.899338
952,451090,2.426471531,2.556044694,2.122086554,135.0330267,234.9116204,226.7601275,209.6947836,277.7051567
953,451179,2.829648757,2.311989586,2.451517884,136.9419759,236.6209417,218.2540207,173.2415937,253.5201221
954,451243,0.893741642,1.479211794,1.432349216,128.4469787,225.2670302,217.2554657,109.7493648,262.915733
955,451323,5.397895192,3.351281394,3.468591734,109.6736015,198.8373557,205.783439,228.9185793,270.3065747
956,451410,4.968659783,5.720408989,7.08716818,98.28848863,178.3270492,190.667063,213.8648202,255.9157118
957,451503,1.325870125,1.275784382,1.51687012,111.439277,197.2415992,197.3761093,207.6351515,220.8363525
958,451626,2.999439557,2.498332039,2.917074629,103.3498986,186.6258155,193.6201803,187.7670333,230.1917062
959,451693,1.690372258,1.370335628,1.22104827,110.3952575,196.1146838,197.0393446,190.3502157,251.2712395
960,451807,6.973098887,5.2699418,6.086525392,114.6208219,201.0668369,201.6474371,205.2249604,258.6472344
961,451860,2.570777003,2.577530356,2.094740039,120.1192296,209.7808902,211.5411463,232.0095011,275.3888579
962,451961,3.788042294,3.339154056,3.424255168,109.6916465,191.3089407,190.5833357,219.4022658,245.2872219
963,452045,1.130587707,1.161260594,1.160335472,81.1779299,143.4872179,144.9940559,149.8919554,199.3436529
964,452112,1.239950731,1.492686666,1.484465615,129.1206703,221.2583014,219.8419594,74.47860725,296.27433
965,452185,4.199556745,3.846393341,3.219451203,118.8533266,208.4861311,207.9517888,238.1580917,273.9915591
966,452279,3.159112209,4.78691908,3.368879604,117.0759358,211.2141412,215.2157838,231.5813084,271.3485628
967,452357,2.766380491,1.800396904,3.368401459,108.2223601,202.9330241,217.6216564,217.4984819,256.9467455
968,452395,3.119057098,2.534697379,3.603719533,100.0832514,178.6629113,189.5934726,210.1716034,252.3578294
969,452500,2.606503976,3.315370462,2.474269907,142.330782,244.9516621,234.3025522,197.2171547,285.3197929
970,452577,1.882640966,2.369155705,2.464775747,101.3957196,184.8994572,193.9425527,202.826032,229.7326752
971,452651,2.590175701,3.372059208,2.569462827,106.0553523,187.0447952,200.0846189,215.0516538,242.638747
972,452737,3.090099128,2.980288438,3.073239006,119.4194478,204.3303546,199.1177384,222.9438184,274.0589132
973,452839,4.296526022,4.52073715,3.139435972,112.5810026,199.3825667,198.4303982,202.2815077,240.6265447
974,452895,2.094572529,2.390258846,2.517506699,118.3389013,210.6318041,213.0183637,220.6088657,255.1368055
975,452955,3.498013042,3.612712211,4.017553167,122.9605436,217.6938483,215.8216823,219.4672197,270.4551733
976,453019,3.866984337,4.227333656,3.852907061,138.0918209,242.922082,234.4011362,243.7738413,295.3558051
977,453081,4.062490323,4.279851293,4.807861797,125.4769036,220.2977428,213.7029787,214.2596002,265.1718844
978,453134,3.740235877,5.966333125,4.391529886,110.3295115,198.1289839,202.1810527,217.4764058,255.5979885
979,453231,1.360404349,1.332862911,1.498667758,126.718358,220.3601577,219.3086208,211.9854338,271.8084825
980,453313,5.643226813,3.687374513,4.538042242,106.9020342,194.9241383,199.7936099,205.2692443,255.6037882
981,453393,4.355743688,4.35739175,3.565284182,107.9062052,191.8010701,195.2103131,205.9675164,256.5694558
