catid,ra_obj,dec_obj,ra_ifu,dec_ifu,r_petro,r_auto,z_tonry,z_spec,m_r,r_e,mu_within_1re,mu_1re,mu_2re,ellip,pa,mstar,g_i,a_g,surv_sami,bad_class
619311,219.2671514,0.38336438,219.2671514,0.38336438,16.612,16.511,0.07933,0.07851,-21.35,8.44,22.45,24.23,25.77,0.2389,33.42,10.64,1.19,0.158,3,0
106815,217.3517478,1.01231598,217.3517478,1.01231598,17.156,17.126,0.08794,0.08708,-20.94,1.69,20.03,21.81,23.35,0.0514,92.63,10.3,0.99,0.128,3,0
215295,133.5504534,0.57178408,133.5504534,0.57178408,17.253,16.497,0.11018,0.10906,-22.11,125.76,27.19,28.98,30.52,0.1783,81.48,11.29,1.52,0.182,4,1
184658,177.3443022,-1.50820281,177.3443022,-1.50820281,17.081,17.073,0.0836,0.08229,-20.92,3.98,21.41,23.19,24.73,0.2304,69.130005,10.51,1.27,0.076,3,0
396890,175.4511123,1.52644353,175.4511123,1.52644353,16.535,16.467,0.11053,0.10919,-22.2,6.42,21.43,23.23,24.76,0.4658,149.78,10.97,1.25,0.078,4,1
508470,217.0962576,-1.53663067,217.0962576,-1.53663067,16.465,16.465,0.05714,0.05629,-20.6,15.18,23.75,25.54,27.08,0.0753,49.660004,10.14,0.9,0.196,8,0
508287,216.5294371,-1.59894027,216.5294371,-1.59894027,18.684,18.421,0.02641,0.02558,-16.88,2.21,22.82,24.62,26.16,0.9475,66.91,8.26,0.37,0.182,8,0
690968,176.4546572,-0.80858009,176.4546572,-0.80858009,19.056,18.076,0.11205,0.11071,-20.91,0.74,19.65,21.45,22.98,0.1555,67.07001,10.91,2.26,0.085,4,1
138827,184.3998076,-1.73664684,184.3998076,-1.73664684,16.38,16.324,0.089,0.08772,-21.76,1.76,19.04,20.84,22.38,0.2667,148.78,10.66,1.03,0.109,3,0
30884,177.2083628,-1.18284417,177.2083628,-1.18284417,16.853,16.695,0.10816,0.10682,-21.92,4.3,21.96,23.76,25.3,0.3495,70.619995,10.94,1.36,0.076,4,0
550021,133.9774706,-0.47405347,133.9774706,-0.47405347,15.835,15.688,0.10754,0.10642,-22.96,17.63,22.83,24.65,26.19,0.4339,86.72998,11.47,1.49,0.133,4,0
377917,139.5980456,1.66369476,139.5980456,1.66369476,16.078,15.908,0.09389,0.09272,-22.39,9.49,22.31,24.12,25.66,0.0463,36.619995,11.19,1.41,0.131,8,1
272424,179.2933009,1.34598269,179.2933009,1.34598269,18.492,18.33,0.03756,0.03632,-17.76,11.01,25.38,27.2,28.74,0.375,29.620003,8.82,0.63,0.059,3,0
622743,134.8239721,0.69014328,134.8239721,0.69014328,17.283,16.68,0.01722,0.0165,-17.74,8.53,22.61,24.44,25.97,0.626,110.17999,9.65,1.39,0.129,8,1
272658,180.3171016,1.36887275,180.3171016,1.36887275,16.69,16.654,0.10604,0.10473,-21.91,7.61,22.24,24.08,25.61,0.2687,150.04999,10.91,1.32,0.08,4,1
30467,175.3933002,-1.20008287,175.3933002,-1.20008287,17.366,17.301,0.07868,0.07737,-20.55,0.47,16.71,18.55,20.08,0.6127,15.850006,10.38,1.29,0.07,3,0
422907,132.8568345,2.8330493,132.8568345,2.8330493,17.715,17.541,0.0295,0.0285,-18.06,31.55,25.57,27.41,28.94,0.4603,13.540009,8.93,0.6,0.122,8,0
